Data,Hora,Equipe,Liga,Tipo,Ano,Temporada,Simulador,Categoria,Pista,Inicio,Final,Pole,Best Lap,Hat-Trick,Chelem,Campeão,Construtores,Eventos,Transmissão,Já Foi?
06/08/19,20:00,Grip,F1BC,Road,2019,2019/2,Automobilista,Marcas Junior,Guapore,1,2,SIM,-,-,-,SIM,SIM,-,https://www.youtube.com/watch?v=vXLbZ7G16-I,TRUE
08/08/19,20:00,Grip,F1BC,Road,2019,2019/2,RFactor 2,Touring Light,Spa-Francorchamps,3,2,-,-,-,-,SIM,SIM,-,https://www.youtube.com/watch?v=AJMCiKGGDsU,TRUE
11/09/19,22:00,Grip,F1BC,Road,2019,2019/3,Automobilista,Marcas Pro,Brasilia,3,10,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=KcAtmKwnyzc,TRUE
12/09/19,22:00,Vakuum,F1BC,Road,2019,2019/3,Assetto Corsa,GT Series,Algarve,8,7,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=7ifL7KjReT4,TRUE
25/09/19,22:00,Grip,F1BC,Road,2019,2019/3,Automobilista,Marcas Pro,Montreal,11,9,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=IOM151u6JhA,TRUE
26/09/19,22:00,Vakuum,F1BC,Road,2019,2019/3,Assetto Corsa,GT Series,Silverstone,14,8,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=6P19jJC61bw,TRUE
09/10/19,22:00,Grip,F1BC,Road,2019,2019/3,Automobilista,Marcas Pro,Suzuka,15,DNF,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=APiqxeqqZD8,TRUE
10/10/19,22:00,Vakuum,F1BC,Road,2019,2019/3,Assetto Corsa,GT Series,Mugello,8,11,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=mH3UlP5b_-E,TRUE
23/10/19,22:00,Grip,F1BC,Road,2019,2019/3,Automobilista,Marcas Pro,Taruma,17,8,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=oYBMAlCCx70,TRUE
24/10/19,22:00,Vakuum,F1BC,Road,2019,2019/3,Assetto Corsa,GT Series,Daytona,4,10,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=fePLH68dkr4,TRUE
